Date,AAPL,AMD,AMZN,CRM,GOOGL,INTC,META,MSFT,NVDA,TSLA
2021-06-17,128.70120239257812,84.55999755859375,174.46200561523438,241.8855743408203,120.90957641601562,52.32624435424805,334.4482727050781,251.49993896484375,18.615615844726562,205.53334045410156
2021-06-18,127.40238189697266,84.6500015258789,174.34500122070312,240.25271606445312,119.28825378417969,50.94442367553711,327.64019775390625,250.08285522460938,18.59716033935547,207.77000427246094
2021-06-21,129.1992950439453,82.58999633789062,172.697998046875,241.93504333496094,120.97808837890625,51.12744140625,330.2541198730469,253.16761779785156,18.38612937927246,206.94332885742188
2021-06-22,130.8398895263672,83.58000183105469,175.27200317382812,240.5792999267578,121.49256134033203,51.12744140625,336.9527893066406,255.94386291503906,18.844602584838867,207.90333557128906
2021-06-23,130.5664520263672,83.81999969482422,175.1909942626953,239.32252502441406,121.29045104980469,50.56922149658203,338.503173828125,255.71250915527344,19.014724731445312,218.85667419433594
2021-06-24,130.2832794189453,86.0999984741211,172.45399475097656,241.23245239257812,121.660888671875,51.310462951660156,341.07733154296875,257.08123779296875,19.162643432617188,226.60667419433594
2021-06-25,129.9902801513672,85.62000274658203,170.072998046875,239.35223388671875,121.6693344116211,51.1640510559082,339.2784423828125,255.471435546875,18.98853302001953,223.9566650390625
2021-06-28,131.62115478515625,87.08000183105469,172.1945037841797,242.0241241455078,121.69664764404297,52.60078430175781,353.4610290527344,259.0381774902344,19.940404891967773,229.57333374023438
2021-06-29,133.1348114013672,89.5199966430664,172.40699768066406,243.25120544433594,121.4349594116211,51.9327392578125,349.7339782714844,261.6216125488281,19.9820613861084,226.9199981689453
2021-06-30,133.75001525878906,93.93000030517578,172.00799560546875,241.7272491455078,121.25320434570312,51.37453079223633,345.5795593261719,261.1396789550781,19.95786476135254,226.56666564941406
2021-07-01,134.0527801513672,93.30999755859375,171.64849853515625,242.42984008789062,121.60578918457031,51.25556564331055,352.2187194824219,261.814453125,20.16689682006836,225.97332763671875
2021-07-02,136.67971801757812,94.69999694824219,175.5489959716797,245.6163330078125,124.39950561523438,51.941890716552734,352.5268249511719,267.6463623046875,20.4412841796875,226.3000030517578
2021-07-06,138.69143676757812,94.47000122070312,183.78700256347656,247.64500427246094,125.32562255859375,51.32876968383789,350.6185607910156,267.6560974121094,20.652313232421875,219.86000061035156
2021-07-07,141.18173217773438,90.54000091552734,184.82899475097656,245.8538360595703,125.607666015625,51.209808349609375,348.34259033203125,269.84429931640625,20.3262939453125,214.88333129882812
2021-07-08,139.88287353515625,89.73999786376953,186.57049560546875,243.24130249023438,124.18746185302734,50.68818283081055,343.5321960449219,267.4248046875,19.85833740234375,217.60333251953125
2021-07-09,141.7090301513672,90.9000015258789,185.9669952392578,242.50900268554688,124.65872192382812,51.23725509643555,348.2729797363281,267.92596435546875,20.005510330200195,218.98333740234375
2021-07-12,141.1133270263672,90.80999755859375,185.92750549316406,240.38140869140625,126.10574340820312,51.91444396972656,350.9962158203125,267.3283386230469,20.46673011779785,228.56666564941406
2021-07-13,142.22659301757812,90.26000213623047,183.8679962158203,241.47984313964844,126.46922302246094,52.04255294799805,349.9327392578125,270.8564147949219,20.20480728149414,222.84666442871094
2021-07-14,145.6543426513672,89.05000305175781,184.08399963378906,239.9063720703125,127.35858917236328,51.722267150878906,345.5000915527344,272.331298828125,19.797222137451172,217.7933349609375
2021-07-15,145.0000762939453,86.93000030517578,181.55999755859375,235.1068878173828,126.13501739501953,51.072532653808594,342.3494873046875,270.9045715332031,18.92392921447754,216.86666870117188
2021-07-16,142.9590301513672,85.88999938964844,178.68150329589844,235.94802856445312,126.10027313232422,50.30384063720703,339.06976318359375,270.63470458984375,18.12047004699707,214.74000549316406
2021-07-19,139.1113739013672,86.58000183105469,177.47950744628906,235.07720947265625,123.72465515136719,50.00185012817383,334.8855285644531,267.02947998046875,18.737842559814453,215.4066619873047
2021-07-20,142.72462463378906,87.11000061035156,178.6595001220703,237.6105499267578,125.34498596191406,50.55092239379883,339.566650390625,269.2563171386719,18.570465087890625,220.1666717529297
2021-07-21,141.99224853515625,89.41000366210938,179.25999450683594,239.58970642089844,126.6753158569336,51.45689010620117,344.1086730957031,271.26129150390625,19.366689682006836,218.42999267578125
2021-07-22,143.3594512939453,91.20999908447266,181.90150451660156,245.6955108642578,127.54181671142578,51.209808349609375,349.03826904296875,275.8305358886719,19.55027961730957,216.4199981689453
2021-07-23,145.0782012939453,92.1500015258789,182.83200073242188,245.6658172607422,132.10386657714844,48.50106430053711,367.52435302734375,279.2333984375,19.514354705810547,214.4600067138672
2021-07-26,145.49810791015625,91.81999969482422,184.99099731445312,245.02259826660156,133.11688232421875,49.69987106323242,370.1779479980469,278.6357116699219,19.250946044921875,219.2066650390625
2021-07-27,143.33013916015625,91.02999877929688,181.3195037841797,240.97512817382812,130.99649047851562,48.6657829284668,365.5564270019531,276.216064453125,19.165136337280273,214.92666625976562
2021-07-28,141.58209228515625,97.93000030517578,181.51600646972656,241.42047119140625,135.1617889404297,48.56512451171875,370.9929504394531,275.9076232910156,19.4594783782959,215.66000366210938
2021-07-29,142.22659301757812,102.94999694824219,179.99600219726562,241.4996337890625,134.84744262695312,49.14164733886719,356.1246032714844,276.17755126953125,19.618125915527344,225.78334045410156
2021-07-30,142.44146728515625,106.19000244140625,166.37950134277344,239.41159057617188,133.80364990234375,49.159942626953125,354.1169738769531,274.6448059082031,19.455490112304688,229.06666564941406
2021-08-02,142.1094512939453,108.62999725341797,166.57400512695312,238.35275268554688,133.93077087402344,49.12334442138672,349.79364013671875,274.55810546875,19.70592498779297,236.55667114257812
2021-08-03,143.9063262939453,112.55999755859375,168.31199645996094,238.61993408203125,134.70094299316406,49.47108840942383,349.0879821777344,276.7752380371094,19.770780563354492,236.5800018310547
2021-08-04,143.50596618652344,118.7699966430664,167.73599243164062,241.62826538085938,134.1999053955078,49.32467269897461,356.720947265625,276.1872253417969,20.2287540435791,236.97332763671875
2021-08-05,143.61334228515625,112.3499984741211,168.79949951171875,247.9517364501953,135.3181915283203,49.63597869873047,360.7461242675781,279.0887451171875,20.590946197509766,238.2100067138672
2021-08-06,142.92872619628906,110.11000061035156,167.2469940185547,247.98143005371094,134.80868530273438,49.66361999511719,361.2828063964844,279.0308837890625,20.3205509185791,233.03334045410156
2021-08-09,142.87982177734375,107.58000183105469,167.093505859375,246.7246856689453,135.9751739501953,49.783355712890625,359.3944396972656,277.9415588378906,20.249713897705078,237.9199981689453
2021-08-10,142.40057373046875,106.4800033569336,166.03399658203125,240.8563995361328,135.86990356445312,49.68204116821289,358.9173278808594,276.1197814941406,19.89151382446289,236.663330078125
2021-08-11,142.65487670898438,107.68000030517578,164.60549926757812,239.75794982910156,135.3455352783203,49.866249084472656,357.7545471191406,276.6113586425781,19.655040740966797,235.94000244140625
2021-08-12,145.6182861328125,106.5,165.1750030517578,245.8043212890625,136.25424194335938,49.31360626220703,360.4280700683594,279.36822509765625,19.86058235168457,240.75
2021-08-13,145.82371520996094,110.55000305175781,164.69850158691406,248.9413299560547,136.78408813476562,49.26756286621094,360.95477294921875,282.2987976074219,20.142948150634766,239.05667114257812
2021-08-16,147.79931640625,107.4800033569336,164.94949340820312,246.60589599609375,137.3621063232422,49.249141693115234,364.3140869140625,283.9857177734375,19.905479431152344,228.72332763671875
2021-08-17,146.88970947265625,107.55999755859375,162.09800720214844,244.41891479492188,135.72537231445312,48.53071212768555,356.2537841796875,282.52044677734375,19.41457748413086,221.90333557128906
2021-08-18,143.1438751220703,103.44000244140625,160.06100463867188,248.60488891601562,134.52120971679688,48.07017135620117,353.272216796875,280.79168701171875,18.99751091003418,229.663330078125
2021-08-19,143.4764404296875,103.69999694824219,159.3874969482422,250.43563842773438,134.75062561035156,48.300445556640625,352.94415283203125,286.62518310546875,19.753822326660156,224.49000549316406
2021-08-20,144.9336700439453,104.6500015258789,159.99749755859375,253.4637908935547,136.48814392089844,47.90439224243164,357.16815185546875,293.9556579589844,20.76955223083496,226.75332641601562
2021-08-23,146.42030334472656,108.7699966430664,163.2935028076172,257.8080749511719,139.08224487304688,49.02808380126953,361.123779296875,294.2358093261719,21.90900230407715,235.43333435058594
2021-08-24,146.33229064941406,107.6500015258789,165.28900146484375,256.9570617675781,140.29388427734375,49.56229782104492,363.27056884765625,292.2752380371094,21.744369506835938,236.163330078125
2021-08-25,145.09996032714844,108.30000305175781,164.95899963378906,258.1346435546875,141.1057891845703,49.56229782104492,366.1329040527344,291.68609619140625,22.16343116760254,237.06666564941406
2021-08-26,144.2979736328125,107.2699966430664,165.8000030517578,265.0024108886719,140.47164916992188,48.93597412109375,362.1474609375,288.8658752441406,22.018756866455078,233.72000122070312
2021-08-27,145.33473205566406,111.4000015258789,167.48150634765625,263.75555419921875,143.017578125,49.63597869873047,370.346923828125,289.474365234375,22.585491180419922,237.30667114257812
2021-08-30,149.7553253173828,111.31999969482422,171.07850646972656,262.2117614746094,143.60006713867188,49.68204116821289,378.32769775390625,293.2120361328125,22.637367248535156,243.6366729736328
2021-08-31,148.4936981201172,110.72000122070312,173.5395050048828,262.50860595703125,143.70632934570312,49.79256820678711,377.05560302734375,291.5605163574219,22.338987350463867,245.24000549316406
2021-09-01,149.15869140625,109.98999786376953,173.9499969482422,265.5269470214844,144.2207794189453,49.433353424072266,379.7091979980469,291.51220703125,22.39487075805664,244.69667053222656
2021-09-02,150.27369689941406,109.19999694824219,173.156005859375,261.4002990722656,142.3054962158203,49.488616943359375,372.9807434082031,290.8554382324219,22.349964141845703,244.1300048828125
